器件编号,名称,推荐类型/型号,关键参数,作用,工程注意事项
F1,保险丝,慢断保险丝/熔断器,T25A 250VAC，陶瓷管或板载保险丝,输入过流与短路保护,1500W@85VAC 输入电流约18A，工程阶段需按散热和浪涌校核
MOV1,压敏电阻,金属氧化物压敏电阻,14D471K 或同等级 470V 压敏,L-N 浪涌吸收,并联在 L-N 之间，不得串联
NTC1,软启动限流器件,NTC 热敏电阻/限流电阻,5Ω/15A 或更高等级,限制母线电容上电冲击电流,正常运行建议由继电器或 MOSFET 旁路
K1,软启动旁路器件,继电器/功率 MOSFET,≥250VAC，≥25A,母线建立后旁路 NTC/限流电阻,降低稳态损耗
Lcm,共模电感,EMI 共模电感,2×2mH，≥20A,抑制共模干扰,按传导 EMI 测试结果调整
Cx,X 电容,安规 X2 电容,0.47µF/275VAC X2,抑制差模噪声,并联 L-N
Cy1/Cy2,Y 电容,安规 Y 电容,2.2nF/Y1 或 Y2,抑制共模噪声,接 PE，注意漏电流
L1,升压电感,PFC 升压电感,约 450µH，≥25A，低损耗磁芯,储能、限制纹波、实现升压 PFC,需后续按纹波、饱和电流、温升重新核算
Q1/Q2,高频开关管,SiC MOSFET,650V/40mΩ 级，如 IMW120R045M1 或同等级,高频升压调制,高频桥臂，需驱动隔离和散热
Q3/Q4,工频同步整流管,SiC MOSFET/低阻 MOSFET,650V/低 Rds(on),交流正负半周同步整流,低频换向，降低导通损耗
Cbus1/Cbus2,母线电容,高压电解电容,2×470µF/450V,稳定 400V 母线、提供能量缓冲,并联/串并联方式按耐压、纹波电流校核
Rbleed,泄放电阻,高压电阻,220kΩ/2W,掉电后释放母线残余电压,注意功耗和耐压
CS1,电流采样,霍尔传感器/电流互感器/低阻采样,≥25A，带宽满足控制要求,电感电流反馈和过流检测,1500W 低压输入不建议使用过大采样电阻
U1/U2,隔离驱动器,隔离栅极驱动芯片,Si8233/ACPL-332J/UCC21520 等,驱动 Q1~Q4,工程阶段根据器件和隔离要求确定型号
U5,PFC 控制器,数字/专用 PFC 控制器,TI UCC28070、DSP/MCU 或同等级,实现电压外环、电流内环和保护逻辑,若做数字控制需补 MCU 程序与采样接口
U6,辅助电源,反激式 DC-DC/辅助电源模块,400VDC 输入，15V/5V 输出,为控制器和驱动器供电,需隔离与启动供电设计
Rva/Rvb/Rv1~Rv3,采样电阻,高压分压电阻,MΩ 级串联分压,输入电压和母线电压采样,注意耐压、精度和功耗
NTC_T,温度检测,NTC 热敏电阻,10kΩ B=3950 或同等级,检测散热器/功率器件温度,接入 OTP 保护
