网络名,含义,连接节点,用途,设计注意事项
AC_L,交流火线输入,"F1-1, MOV1-1, EMI_L_IN",交流输入侧,强电高压网络
AC_N,交流零线输入,"MOV1-2, EMI_N_IN",交流输入侧,强电高压网络
PE,保护地,"Cy1, Cy2, 机壳地",安规保护,不得与信号地随意短接
L_FILT,滤波后火线,"EMI_L_OUT, L1_IN, VIN采样",PFC 输入,走线需满足输入电流
N_FILT,滤波后零线,"EMI_N_OUT, 工频桥臂中点, VIN采样",PFC 输入,与 L_FILT 成对布线
SW_HF,高频桥臂中点,"Q1-S, Q2-D, L1_OUT",高 dv/dt 开关节点,PCB 中应短而紧凑，远离采样线
SW_LF,工频桥臂中点,"Q3-S, Q4-D, N_FILT",工频换向节点,与输入零线连接逻辑需校核
HV_BUS+,高压直流正母线,"Q1-D, Q3-D, Cbus+, RL+",400VDC 输出,强电高压网络
PGND,功率地/母线负端,"Q2-S, Q4-S, Cbus-, RL-",主功率回流,与 SGND 单点连接
VBUS_S,母线电压采样,"Rv1/Rv2/Rv3, U5_VBUS",反馈信号,高阻分压后加 RC 滤波
VIN_S,输入电压采样,"Rin1/Rin2, U5_VIN",前馈/同步信号,需隔离或限流保护
IL_S,电感电流采样,"CS1, U5_IL, OCP比较器",电流内环与保护,采样线远离 SW_HF
ZCD,过零检测,"AC检测电路, U5_ZCD",半周换向判断,可用光耦/比较器实现
GH,高频上管驱动,"U1_HO, Q1_G",驱动信号,栅极回路短且独立
GL,高频下管驱动,"U1_LO, Q2_G",驱动信号,设置死区防直通
GDH,工频上管驱动,"U2_HO, Q3_G",驱动信号,按交流半周换向
GDL,工频下管驱动,"U2_LO, Q4_G",驱动信号,按交流半周换向
FAULT,故障关断信号,"保护逻辑, U5_FAULT",保护控制,故障时关闭全部驱动
+15V,驱动电源,"U6_OUT15, U1/U2_VCC",低压电源,隔离供电优先
+5V/+3V3,控制电源,"U6_OUT5, U5_VCC, 采样电路",低压电源,与模拟采样滤波配合
